station_id,lat,lon,elevation
028000-99999,64.617,23.9,23.8
028010-99999,69.05,20.783,482.7
028030-99999,64.683,25.083,49.5
028040-99999,65.583,28.217,197.0
028050-99999,69.75,27.0,106.3
028070-99999,68.607,27.405,146.6
028075-99999,68.363,23.424,306.3
028110-99999,66.367,29.317,165.0
028120-99999,66.533,24.65,93.0
028130-99999,66.583,26.017,107.4
028140-99999,66.717,27.167,208.0
028150-99999,67.283,28.183,180.0
028160-99999,68.083,27.183,248.8
028170-99999,68.433,27.45,438.0
028180-99999,68.483,28.3,254.9
028190-99999,67.75,29.617,360.0
028200-99999,68.067,24.033,762.0
028210-99999,67.967,24.117,565.5
028230-99999,67.967,23.683,252.6
028240-99999,67.983,24.25,349.5
028250-99999,70.083,27.9,22.0
028270-99999,69.067,27.5,123.5
028280-99999,60.383,22.55,5.2
028290-99999,60.6,24.8,87.5
028300-99999,60.7,26.817,33.0
028310-99999,60.533,27.667,5.0
028320-99999,62.233,30.35,90.0
028330-99999,62.933,22.483,31.7
028340-99999,63.833,27.217,207.6
028350-99999,68.85,28.3,123.0
028360-99999,67.395,26.619,183.5
028440-99999,66.767,23.967,85.9
028450-99999,66.565,25.83,196.6
028470-99999,66.5,25.717,82.3
028480-99999,66.817,28.667,223.0
028490-99999,66.833,28.667,221.7
028620-99999,65.667,24.517,3.1
028630-99999,65.383,24.1,19.0
028640-99999,65.782,24.599,18.6
028670-99999,65.367,27.017,117.0
028680-99999,66.167,29.15,362.8
028690-99999,65.988,29.239,264.0
028720-99999,64.667,24.4,2.0
028730-99999,65.033,24.567,7.3
028740-99999,65.033,24.8,6.0
028750-99999,64.93,25.355,14.3
028760-99999,65.0,25.4,3.8
028790-99999,64.9,29.017,224.0
028890-99999,64.933,28.75,225.2
028970-99999,64.285,27.692,147.2
029010-99999,63.733,22.583,13.0
029030-99999,63.721,23.143,25.3
029050-99999,63.917,24.967,81.0
029070-99999,64.333,23.45,5.0
029100-99999,63.433,21.067,11.0
029110-99999,63.051,21.762,5.8
029130-99999,63.127,23.051,46.0
029150-99999,63.083,25.867,132.0
029170-99999,63.007,27.798,98.5
029190-99999,61.2,28.467,77.0
029200-99999,63.75,22.517,19.2
029210-99999,62.883,21.1,13.0
029240-99999,62.533,24.217,159.7
029245-99999,62.692,22.832,91.7
029290-99999,62.663,29.608,121.3
029350-99999,62.399,25.678,139.9
029390-99999,62.767,30.983,156.5
029420-99999,61.833,22.467,124.8
029430-99999,61.517,23.75,98.0
029440-99999,61.414,23.604,118.9
029450-99999,61.856,24.787,146.0
029470-99999,61.687,27.202,100.3
029480-99999,61.943,28.945,94.8
029490-99999,60.65,23.8,143.0
029500-99999,60.117,21.7,4.5
029520-99999,61.462,21.8,13.4
029580-99999,61.045,28.144,106.4
029610-99999,61.133,21.367,10.0
029630-99999,60.817,23.5,103.0
029640-99999,60.717,21.033,3.9
029650-99999,60.967,25.633,78.7
029660-99999,60.896,26.938,103.3
029670-99999,60.283,27.183,5.5
029700-99999,60.122,19.898,5.2
029720-99999,60.514,22.263,49.1
029730-99999,60.4,23.767,86.0
029740-99999,60.317,24.963,54.6
029750-99999,60.255,25.043,17.4
029760-99999,60.383,26.967,13.1
029790-99999,59.5,20.35,16.0
029800-99999,59.967,19.95,10.0
029810-99999,59.783,21.367,6.8
029820-99999,59.767,22.95,6.5
029840-99999,59.933,24.017,12.0
029870-99999,59.983,25.6,23.3
029910-99999,60.2,25.633,27.1
029920-99999,60.283,26.45,3.5
029930-99999,60.3,19.133,15.1
030020-99999,60.75,-0.85,15.0
030030-99999,59.879,-1.296,6.1
030050-99999,60.133,-1.183,84.0
030060-99999,60.45,-1.267,7.0
030064-99999,60.433,-1.296,24.7
030070-99999,60.583,-1.267,20.0
030080-99999,59.533,-1.633,57.0
030090-99999,59.367,-2.417,11.0
030100-99999,59.083,-4.4,12.0
030170-99999,58.958,-2.905,15.5
030220-99999,57.481,-7.363,5.8
030230-99999,57.333,-7.367,4.0
030260-99999,58.216,-6.331,7.9
030290-99999,56.733,-6.217,12.0
030310-99999,57.717,-4.883,264.0
030340-99999,57.867,-5.633,10.0
030370-99999,57.25,-5.8,18.0
030390-99999,57.417,-5.683,773.0
030410-99999,56.817,-4.967,1130.0
030440-99999,58.283,-4.433,80.0
030470-99999,56.867,-4.7,249.0
030490-99999,58.633,-5.0,112.0
030570-99999,57.267,-4.483,21.0
030590-99999,57.543,-4.048,9.4
030620-99999,57.817,-3.967,4.0
030630-99999,57.2,-3.833,228.0
030650-99999,57.117,-3.633,1245.0
030660-99999,57.649,-3.561,6.7
030680-99999,57.705,-3.339,12.8
030700-99999,57.35,-3.35,213.0
030720-99999,56.883,-3.417,933.0
030750-99999,58.459,-3.093,38.4
030800-99999,57.083,-2.833,140.0
030880-99999,56.85,-2.267,134.0
030910-99999,57.202,-2.198,65.5
030920-99999,57.5,-1.767,15.0
031000-99999,56.499,-6.869,11.6
031050-99999,55.683,-6.25,17.0
031110-99999,55.433,-5.7,10.0
031140-99999,56.417,-5.467,4.0
031180-99999,55.0,-5.15,15.0
031310-99999,54.633,-4.85,78.0
031320-99999,54.85,-4.95,12.0
031340-99999,55.9,-4.533,59.0
031350-99999,55.509,-4.587,19.8
031394-99999,55.437,-5.686,12.8
031400-99999,55.872,-4.433,7.9
031440-99999,56.317,-3.733,35.0
031480-99999,56.417,-4.317,564.0
031520-99999,55.861,-3.875,277.0
031530-99999,54.8,-4.0,113.0
031540-99999,55.05,-3.65,16.0
031550-99999,55.617,-3.733,245.0
031580-99999,55.7,-2.383,111.0
031600-99999,55.95,-3.373,41.1
031610-99999,55.7,-3.217,195.0
031620-99999,55.317,-3.2,242.0
031634-99999,56.452,-3.026,5.2
031650-99999,55.05,-2.55,325.0
031710-99999,56.373,-2.868,11.6
031740-99999,56.3,-2.583,12.0
031850-99999,55.917,-2.133,75.0
032040-99999,54.083,-4.624,16.8
032080-99999,54.417,-4.367,9.0
032100-99999,54.517,-3.6,123.0
032120-99999,54.617,-3.167,81.0
032130-99999,54.317,-3.4,9.0
032140-99999,54.131,-3.264,14.3
032150-99999,54.767,-3.317,62.0
032200-99999,54.933,-2.967,27.0
032220-99999,54.938,-2.809,57.9
032240-99999,55.05,-2.55,286.0
032250-99999,54.5,-2.683,255.0
032260-99999,54.567,-2.417,227.0
032270-99999,54.683,-2.45,847.0
032300-99999,55.283,-2.283,212.0
032380-99999,55.017,-1.867,146.0
032400-99999,55.424,-1.603,21.3
032433-99999,55.038,-1.692,81.1
032450-99999,54.967,-1.617,50.0
032570-99999,54.292,-1.535,40.2
032620-99999,55.017,-1.417,30.0
032635-99999,54.509,-1.429,36.6
032643-99999,54.206,-1.382,28.0
032660-99999,54.049,-1.253,16.2
032750-99999,54.567,-0.867,159.0
032810-99999,54.367,-0.667,262.0
032920-99999,54.1,-0.167,19.0
033010-99999,53.267,-4.367,62.0
033020-99999,53.248,-4.535,11.3
033050-99999,53.1,-3.933,215.0
033130-99999,53.25,-3.5,76.0
033160-99999,53.5,-3.067,9.0
033180-99999,53.772,-3.029,10.4
033210-99999,53.178,-2.978,13.7
033220-99999,53.55,-2.917,56.0
033230-99999,53.333,-2.85,26.0
033300-99999,53.133,-1.983,299.0
033340-99999,53.354,-2.275,78.3
033380-99999,53.033,-2.083,228.0
033440-99999,53.817,-1.867,267.0
033460-99999,53.6,-1.667,267.0
033463-99999,53.866,-1.661,207.6
033465-99999,50.433,-4.983,119.0
033540-99999,53.0,-1.25,117.0
033550-99999,53.834,-1.196,8.8
033600-99999,53.483,-1.0,17.0
033723-99999,52.962,-0.562,111.9
033730-99999,53.308,-0.551,61.6
033735-99999,53.574,-0.351,36.9
033770-99999,53.166,-0.524,70.4
033790-99999,53.03,-0.483,66.4
033840-99999,53.867,-0.433,6.0
033850-99999,53.467,0.067,8.0
033880-99999,53.45,-0.2,108.0
033910-99999,53.093,-0.166,7.6
033920-99999,53.083,0.267,5.0
033960-99999,53.617,0.15,12.0
034010-99999,52.95,-4.567,37.0
034020-99999,52.817,-4.633,253.0
034050-99999,52.783,-4.733,94.0
034054-99999,53.475,-1.004,16.8
034100-99999,52.75,-3.467,359.0
034140-99999,52.798,-2.668,75.9
034145-99999,52.64,-2.306,82.9
034185-99999,52.831,-1.328,93.3
034530-99999,52.736,-0.649,140.5
034620-99999,52.613,-0.476,83.2
034690-99999,52.867,0.15,3.0
034820-99999,52.648,0.551,22.9
034873-99999,52.85,0.767,65.0
034880-99999,52.95,1.133,20.0
034920-99999,52.676,1.283,35.7
034950-99999,52.755,1.358,20.1
034960-99999,52.683,1.683,14.0
034970-99999,52.583,1.717,3.0
035020-99999,52.133,-4.567,134.0
035030-99999,52.35,-3.95,62.0
035070-99999,52.067,-3.617,307.0
035200-99999,52.25,-2.883,99.0
035220-99999,52.083,-2.8,76.0
035290-99999,52.15,-2.033,31.0
035340-99999,52.454,-1.748,99.7
035350-99999,52.483,-1.683,96.0
035440-99999,52.367,-1.333,106.0
035573-99999,52.072,-0.617,109.1
035600-99999,52.217,-0.483,84.0
035623-99999,52.367,-0.217,49.0
035660-99999,52.357,-0.108,41.1
035661-99999,55.682,-6.257,17.1
035715-99999,52.205,0.175,14.3
035773-99999,52.367,0.483,10.0
035833-99999,52.4,0.567,10.0
035860-99999,52.333,0.767,53.0
035900-99999,52.127,0.956,86.6
035953-99999,52.083,1.4,29.0
035963-99999,52.133,1.433,25.9
036030-99999,51.883,-5.117,111.0
036040-99999,51.7,-5.05,32.0
036050-99999,51.717,-4.367,3.0
036070-99999,51.75,-4.517,5.0
036090-99999,51.567,-3.983,32.0
036140-99999,51.633,-3.3,194.0
036280-99999,51.517,-2.583,59.0
036333-99999,51.894,-2.167,30.8
036440-99999,51.682,-1.79,87.2
036470-99999,51.867,-1.683,210.0
036490-99999,51.75,-1.584,87.8
036553-99999,51.933,1.25,133.0
036580-99999,51.616,-1.096,68.9
036600-99999,51.683,-0.8,205.0
036720-99999,51.553,-0.418,37.8
036733-99999,51.875,-0.368,160.3
036830-99999,51.885,0.235,106.1
036840-99999,51.883,0.45,87.0
036880-99999,51.967,0.5,98.0
036913-99999,51.571,0.696,14.9
036930-99999,51.55,0.833,3.0
036950-99999,51.667,1.1,8.0
036960-99999,51.85,1.283,5.0
037020-99999,51.167,-4.65,43.0
037070-99999,51.087,-4.15,8.2
037100-99999,51.083,-3.6,347.0
037150-99999,51.397,-3.343,67.1
037160-99999,51.405,-3.436,49.7
037243-99999,51.383,-2.719,189.6
037260-99999,51.467,-2.6,11.0
037400-99999,51.505,-1.993,156.4
037430-99999,51.2,-1.8,133.0
037450-99999,51.25,-1.767,139.0
037460-99999,51.152,-1.747,124.1
037490-99999,51.15,-1.567,91.0
037610-99999,51.234,-0.943,123.4
037630-99999,51.383,-0.783,74.0
037660-99999,51.283,-0.767,72.0
037663-99999,51.331,0.033,182.3
037683-99999,51.505,0.055,5.8
037690-99999,51.144,-0.229,68.0
037720-99999,51.478,-0.461,25.3
037760-99999,51.148,-0.19,61.6
037780-99999,51.517,-0.117,23.0
037810-99999,51.3,-0.083,170.0
037850-99999,51.2,0.783,91.0
037910-99999,51.45,0.75,25.0
037960-99999,51.133,1.35,117.0
037970-35047,51.35,1.333,50.0
038040-99999,49.933,-6.3,51.0
038060-99999,50.064,-5.709,63.0
038080-99999,50.217,-5.317,88.0
038090-99999,50.086,-5.256,81.4
038140-99999,49.95,-5.183,57.0
038170-99999,50.433,-5.0,118.9
038230-99999,50.5,-4.667,199.0
038270-99999,50.35,-4.117,27.0
038370-99999,50.4,-3.483,8.0
038390-99999,50.734,-3.414,31.1
038400-99999,50.867,-3.233,253.0
038530-99999,51.009,-2.639,22.9
038570-99999,50.517,-2.45,52.0
038580-99999,50.567,-2.45,3.0
038620-99999,50.78,-1.843,11.6
038650-99999,50.95,-1.357,13.4
038660-99999,50.583,-1.3,24.0
038720-99999,50.817,-0.917,3.0
038760-99999,50.836,-0.297,2.1
038800-99999,50.783,0.05,5.0
038820-99999,50.9,0.317,52.0
038840-99999,50.867,0.333,17.0
038873-99999,50.956,0.939,4.0
038915-99999,49.706,-2.215,88.4
038940-99999,49.435,-2.602,102.4
038950-99999,49.208,-2.196,84.4
039020-99999,54.433,-8.05,145.0
039040-99999,54.7,-7.583,50.0
039050-99999,54.667,-7.317,113.0
039060-99999,55.017,-7.233,73.0
039084-99999,55.043,-7.161,6.7
039110-99999,54.717,-6.817,227.0
039150-99999,54.867,-6.45,65.0
039160-99999,55.183,-6.167,156.0
039170-99999,54.658,-6.216,81.7
039200-99999,54.483,-6.1,38.0
039230-99999,54.233,-6.5,160.0
039240-99999,54.618,-5.873,4.6
039250-99999,54.667,-5.583,34.0
039270-99999,54.669,-5.748,43.0
039280-99999,54.85,-5.8,3.0
039520-99999,51.8,-8.25,41.0
039530-99999,51.933,-10.25,30.0
039550-99999,51.841,-8.491,153.0
039560-99999,52.283,-6.483,53.0
039570-99999,52.25,-6.333,25.0
039600-99999,52.667,-7.267,64.0
